2011-04-05 02:05:55|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\logout.php Line=77 : Logout For User :guest clean  [ticket_read, message_read and cmr_session] session=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:05:59|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 02:06:12|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:06:12|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:06:12|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:07:13|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:07:13|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:07:13|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:09:03|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:09:03|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:09:03|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:10:01|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:10:01|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:10:01|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:10:46|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:10:46|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:10:46|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:13:46|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:13:46|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:13:46|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:15:09|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:15:09|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:15:09|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:19:25|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\function.php  Line=830 : File [C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes/templates/modules/conf_template.ini]  Can not  be found
2011-04-05 20:52:22|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 21:22:26|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 21:36:34|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
